AAR;UHELDSART;UHELDKOMMUNE;X_KOORDINAT;Y_KOORDINAT;UHELDSDATO;TIME
2022;Anmsuh;København;724622,126;6179465,024;17-03-2022;16
2022;Pskduh;København;724309,493;6175795,494;12-03-2022;23
2022;Pskduh;København;723881,43;6176441,287;16-03-2022;10
2022;Mskduh;København;717846,001;6179584,001;13-03-2022;15
2022;Mskduh;København;723351,001;6178319,001;16-03-2022;7
2022;Anmsuh;København;726072,001;6179428,001;12-03-2022;3
2022;Anmsuh;København;723796,001;6177379,001;11-03-2022;23
2022;Pskduh;København;720955,219;6173422,802;19-03-2022;2
2022;Pskduh;København;725523,001;6176395,001;23-03-2022;7
2022;Pskduh;København;723656,001;6176418,001;23-03-2022;19
2022;Pskduh;København;723607,001;6174878,001;24-03-2022;13
2022;Pskduh;København;725508,001;6177560,001;24-03-2022;16
2022;Exuh;København;720239,731;6172493,54;12-03-2022;11
2022;Anmsuh;København;727947,001;6173486,001;09-03-2022;21
