,ix,iy,count,center_x,center_y
176,12,22,5,722066.001,6177713.565
174,12,14,5,722066.001,6174513.565
302,17,28,5,724066.001,6180113.565
387,21,5,4,725666.001,6170913.565
507,29,9,4,728866.001,6172513.565
502,28,9,4,728466.001,6172513.565
364,20,6,4,725266.001,6171313.565
492,26,18,4,727666.001,6176113.565
491,26,16,4,727666.001,6175313.565
486,26,11,4,727666.001,6173313.565
459,24,17,4,726866.001,6175713.565
458,24,16,4,726866.001,6175313.565
451,24,9,4,726866.001,6172513.565
485,26,10,4,727666.001,6172913.565
479,25,20,4,727266.001,6176913.565
360,20,2,4,725266.001,6169713.565
476,25,17,4,727266.001,6175713.565
362,20,4,4,725266.001,6170513.565
426,22,21,4,726066.001,6177313.565
256,15,30,4,723266.001,6180913.565
82,6,28,4,719666.001,6180113.565
20,3,22,4,718466.001,6177713.565
91,7,15,4,720066.001,6174913.565
131,9,27,4,720866.001,6179713.565
70,6,14,4,719666.001,6174513.565
284,17,7,4,724066.001,6171713.565
59,5,23,4,719266.001,6178113.565
49,5,13,4,719266.001,6174113.565
152,11,9,4,721666.001,6172513.565
42,4,27,4,718866.001,6179713.565
154,11,11,4,721666.001,6173313.565
14,2,28,4,718066.001,6180113.565
4,1,23,4,717666.001,6178113.565
311,18,12,4,724466.001,6173713.565
313,18,14,4,724466.001,6174513.565
2,0,27,4,717266.001,6179713.565
163,11,28,3,721666.001,6180113.565
168,12,2,3,722066.001,6169713.565
433,22,29,3,726066.001,6180513.565
173,12,13,3,722066.001,6174113.565
411,22,4,3,726066.001,6170513.565
136,10,11,3,721266.001,6173313.565
423,22,18,3,726066.001,6176113.565
119,9,9,3,720866.001,6172513.565
175,12,15,3,722066.001,6174913.565
337,19,6,3,724866.001,6171313.565
432,22,28,3,726066.001,6180113.565
431,22,26,3,726066.001,6179313.565
113,8,24,3,720466.001,6178513.565
106,8,12,3,720466.001,6173713.565
95,7,23,3,720066.001,6178113.565
90,7,14,3,720066.001,6174513.565
84,7,8,3,720066.001,6172113.565
187,13,4,3,722466.001,6170513.565
65,5,30,3,719266.001,6180913.565
60,5,24,3,719266.001,6178513.565
44,4,29,3,718866.001,6180513.565
43,4,28,3,718866.001,6180113.565
27,3,29,3,718466.001,6180513.565
19,3,21,3,718466.001,6177313.565
11,2,25,3,718066.001,6178913.565
509,29,12,3,728866.001,6173713.565
183,12,29,3,722066.001,6180513.565
0,0,25,3,717266.001,6178913.565
211,14,7,3,722866.001,6171713.565
388,21,6,3,725666.001,6171313.565
245,15,19,3,723266.001,6176513.565
286,17,11,3,724066.001,6173313.565
365,20,7,3,725266.001,6171713.565
299,17,25,3,724066.001,6178913.565
229,14,29,3,722866.001,6180513.565
304,17,32,3,724066.001,6181713.565
385,21,3,3,725666.001,6170113.565
308,18,9,3,724466.001,6172513.565
260,16,8,3,723666.001,6172113.565
309,18,10,3,724466.001,6172913.565
332,19,1,3,724866.001,6169313.565
204,13,28,3,722466.001,6180113.565
389,21,7,3,725666.001,6171713.565
331,18,32,3,724466.001,6181713.565
464,24,22,2,726866.001,6177713.565
298,17,24,2,724066.001,6178513.565
45,4,30,2,718866.001,6180913.565
58,5,22,2,719266.001,6177713.565
510,29,13,2,728866.001,6174113.565
62,5,26,2,719266.001,6179313.565
281,16,31,2,723666.001,6181313.565
64,5,29,2,719266.001,6180513.565
68,6,11,2,719666.001,6173313.565
370,20,16,2,725266.001,6175313.565
188,13,8,2,722466.001,6172113.565
452,24,10,2,726866.001,6172913.565
261,16,9,2,723666.001,6172513.565
508,29,11,2,728866.001,6173313.565
503,28,10,2,728466.001,6172913.565
6,1,25,2,717666.001,6178913.565
39,4,24,2,718866.001,6178513.565
9,2,21,2,718066.001,6177313.565
504,28,11,2,728466.001,6173313.565
498,27,13,2,728066.001,6174113.565
497,27,12,2,728066.001,6173713.565
496,27,11,2,728066.001,6173313.565
495,27,10,2,728066.001,6172913.565
494,27,9,2,728066.001,6172513.565
16,3,16,2,718466.001,6175313.565
17,3,18,2,718466.001,6176113.565
18,3,19,2,718466.001,6176513.565
443,23,16,2,726466.001,6175313.565
28,4,12,2,718866.001,6173713.565
482,25,28,2,727266.001,6180113.565
481,25,22,2,727266.001,6177713.565
477,25,18,2,727266.001,6176113.565
189,13,9,2,722466.001,6172513.565
340,19,9,2,724866.001,6172513.565
133,10,8,2,721266.001,6172113.565
101,8,7,2,720466.001,6171713.565
148,10,28,2,721266.001,6180113.565
412,22,7,2,726066.001,6171713.565
430,22,25,2,726066.001,6178913.565
428,22,23,2,726066.001,6178113.565
142,10,22,2,721266.001,6177713.565
107,8,13,2,720466.001,6174113.565
128,9,24,2,720866.001,6178513.565
140,10,15,2,721266.001,6174913.565
169,12,8,2,722066.001,6172113.565
96,7,24,2,720066.001,6178513.565
391,21,9,2,725666.001,6172513.565
134,10,9,2,721266.001,6172513.565
132,10,0,2,721266.001,6168913.565
238,15,11,2,723266.001,6173313.565
359,20,1,1,725266.001,6169313.565
493,27,8,1,728066.001,6172113.565
141,10,21,1,721266.001,6177313.565
306,18,4,1,724466.001,6170513.565
305,18,1,1,724466.001,6169313.565
15,3,15,1,718466.001,6174913.565
307,18,8,1,724466.001,6172113.565
1,0,26,1,717266.001,6179313.565
147,10,27,1,721266.001,6179713.565
29,4,13,1,718866.001,6174113.565
409,21,29,1,725666.001,6180513.565
408,21,28,1,725666.001,6180113.565
151,11,1,1,721666.001,6169313.565
501,27,16,1,728066.001,6175313.565
386,21,4,1,725666.001,6170513.565
210,14,6,1,722866.001,6171313.565
166,11,31,1,721666.001,6181313.565
5,1,24,1,717666.001,6178513.565
172,12,12,1,722066.001,6173713.565
209,14,5,1,722866.001,6170913.565
207,14,3,1,722866.001,6170113.565
511,30,9,1,729266.001,6172513.565
410,22,3,1,726066.001,6170113.565
31,4,15,1,718866.001,6174913.565
480,25,21,1,727266.001,6177313.565
461,24,19,1,726866.001,6176513.565
89,7,13,1,720066.001,6174113.565
447,23,29,1,726466.001,6180513.565
448,23,30,1,726466.001,6180913.565
449,24,7,1,726866.001,6171713.565
450,24,8,1,726866.001,6172113.565
98,7,26,1,720066.001,6179313.565
81,6,26,1,719666.001,6179313.565
78,6,23,1,719666.001,6178113.565
73,6,18,1,719666.001,6176113.565
109,8,15,1,720466.001,6174913.565
244,15,17,1,723266.001,6175713.565
460,24,18,1,726866.001,6176113.565
462,24,20,1,726866.001,6176913.565
30,4,14,1,718866.001,6174513.565
116,8,27,1,720466.001,6179713.565
240,15,13,1,723266.001,6174113.565
465,24,23,1,726866.001,6178113.565
467,25,8,1,727266.001,6172113.565
234,15,7,1,723266.001,6171713.565
366,20,8,1,725266.001,6172113.565
429,22,24,1,726066.001,6178513.565
427,22,22,1,726066.001,6177713.565
117,8,28,1,720466.001,6180113.565
227,14,27,1,722866.001,6179713.565
383,20,29,1,725266.001,6180513.565
254,15,28,1,723266.001,6180113.565
280,16,30,1,723666.001,6180913.565
